Girokonto;Beispiel-IBAN hier;;;;;;;;;;
Zeitraum:;DD.MM.YYYY – DD.YY.YYYY;;;;;;;;;;
Kontostand vom 17.01.2026:;1.234,56 €;;;;;;;;;;
;;;;;;;;;;;
Buchungsdatum;Wertstellung;Status;Zahlungspflichtige*r;Zahlungsempfänger*in;Verwendungszweck;Umsatztyp;IBAN;Betrag (€);Gläubiger-ID;Mandatsreferenz;Kundenreferenz
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-60;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Eingang;Beispiel-IBAN hier;2.676,43;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-34,99;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-20,88;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-7,36;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-25,04;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-27,76;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-25,62;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-29,49;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-7,18;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-35,48;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5,24;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-11,96;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-26,42;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-9,22;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-23,02;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-13,62;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-19,99;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-3,55;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-6,67;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-29,86;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-4,8;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-12;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-50,91;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-18,45;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-22,97;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-6,37;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-13,25;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5,77;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-49,97;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-250;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-2,56;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-4;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-4;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-7,08;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-19,45;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-19,34;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-24,24;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5,4;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-40,97;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-1,6;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-8,86;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-0,21;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-6,27;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-9,67;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-18,45;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-11,87;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-8,16;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-26,61;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-1.074;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Eingang;Beispiel-IBAN hier;0;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-10,8;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Eingang;Beispiel-IBAN hier;100;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Eingang;Beispiel-IBAN hier;100;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-2,6;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-13,52;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-54,99;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-34,95;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-60;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-2,1;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-26,51;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5,99;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-49,94;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-3,49;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-4,78;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Eingang;Beispiel-IBAN hier;2.676,43;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-31;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-57,07;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-9,9;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-1,34;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-14,28;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-412,6;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Eingang;Beispiel-IBAN hier;150;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-7,36;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-14,82;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-4,89;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-26,26;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5,77;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-19,45;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-15,91;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-42,25;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-55,08;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5,4;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-39,36;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-11,4;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-8,88;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5,37;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-41,7;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-9,48;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-1,47;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-57,79;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-40,94;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-250;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-1,44;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-9,78;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-26,14;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-2,78;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-213,29;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-1.03;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-2,99;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-17,99;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-7,14;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-14,02;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-244;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Eingang;Beispiel-IBAN hier;18,25;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-18,25;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-6,79;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-9,32;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-1,5;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-26,61;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5,27;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-9,67;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-114,5;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-21,21;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Eingang;Beispiel-IBAN hier;114,5;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-22,01;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-2,8;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-3,49;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-60;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-34,95;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-49,94;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-33,51;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-8,96;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-4,05;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-7,13;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-23,04;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-37,82;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-22,03;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-3,45;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-2,99;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Eingang;Beispiel-IBAN hier;2.676,43;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5,45;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-4,5;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-6,5;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-4,49;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-1;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-3,49;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-20,88;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-3,8;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-16,37;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-39,99;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-5,87;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-19,86;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-12,69;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-17,95;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-11,03;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-4,05;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-3,55;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-68,96;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-3,45;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-9,52;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-6,78;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-103,61;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-2,99;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-4,05;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-14,39;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-12,66;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-11,56;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-4,05;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-3,55;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-6,88;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-16,37;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-14,33;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-17,43;;;
DD.MM.YY;DD.MM.YY;Gebucht;Beispielname hier;Beispielname hier;Beispiel Verwendungszweck;Ausgang;Beispiel-IBAN hier;-3,65;;;
